Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
2761,The Denial of Death,Ernest Becker,"Becker, Ernest",,"=""0684832402""","=""9780684832401""",5,4.10,Free Press,Paperback,336,1997,1973,,2020/08/30,,,read,"In general Becker says that our whole civilization is the first step to a self-deluding justified denial of death. The denial is at the core of our being. Its what lets us carry on after the realization of our fragile and Camuean absurd lives. That makes sense when we put that into the context of conflict. If we take religion for example. When we have 2 conflicting ideologies, people on both sides will try to argue that the other one is fake as the oposing view is a threat to their own ""Denial of Death"". So far so good. He carries on to explain how all of us have an ""immortality system"" which arises from our civilization. Any groups we join, any idea we start to believe in, this is what we believe will continue to work after we have died. In a way we help something continue after us. We are fighting for a higher cause. Nevertheless, all of that is a mask behind our unwillingness to confront death as something which awaits us. This is the mistake Becker tries to show us. He supports Kirkegard's explanation of the man who has truly accepted himself for the fragile and limited being which he is and has become content with that. Accept the absurd, live it, but do not confuse yourself that you have surpassed death. That denial is the reason for so much of the world's pain and misery. No wonder it leads to conflict. Becker does not provide a solution, but in the ideology of the Buddhista we can see that they follow Kirkegard's argument. 1.understand u suffer.<br/>2. One of the seasons for many people to suffer is the denial.<br/>3. The truth that we can free ourselves from it.<br/>4. The path which leads to the end of suffering.<br/><br/>In my own eyes we need to accept that there is no higher cause. We will eventually die and nothing matters in the grand scheme of things. We need to feel the anxiety, accept ourselves and battle the absurdity of it on a daily basis.<br/><br/>Becker suggest some sort of a ""faith"" towards the devine cosmic plan. In a way blind faith, which tells us that we need to accept the fact we will never be able to attain true meaning.<br/><br/>Let's get back to the calmity with which Becker wants us to attain the acceptance of death. He mentions Socrates when he is called up to court for corrupting the youth and how he irritates the jury by not being frightened by the consequences. I personally remembered ""The Man"" in Nicola Vaptsarov's ""The song about a man"" and Carlos Fuentes' ""The death of Artemio Cruz"". Both heroes were in the same predicament,but they courageously and calmy(Artemio) or smiling and accepting(The man) faced death.<br/><br/><br/>To be continued...",,,1,0
221524,A Country Doctor,Franz Kafka,"Kafka, Franz","Zoulfiia Gazeava, Kevin Blahut","=""8090217141""","=""9788090217140""",5,3.68,Twisted Spoon Press,Hardcover,92,1997,,,2020/06/17,,,read,,,,1,0
15712901,18% Gray,Zachary Karabashliev,"Karabashliev, Zachary","Захари Карабашлиев, Angela Rodel","=""1934824712""","=""9781934824719""",4,3.89,Open Letter,Paperback,264,2013,2008,2017/01/01,2017/01/25,,,read,,,,1,0
1045017,The Discourses,Epictetus,"Epictetus, Epictetus","Christopher Gill, Richard Stoneman, Robin Hard","=""0460873121""","=""9780460873123""",5,4.27,Everyman ,Paperback,351,1995,108,2017/03/08,2017/01/25,,,read,,,,1,0
19288239,Colorless Tsukuru Tazaki and His Years of Pilgrimage,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0385352107""","=""9780385352109""",5,3.87,Alfred A. Knopf,Hardcover,386,2014,2013,2016/12/24,2017/01/07,,,read,,,,1,0
5128,The Doors of Perception / Heaven and Hell,Aldous Huxley,"Huxley, Aldous",,"=""0060595183""","=""9780060595180""",5,3.93,Harper Perennial Modern Classics,Paperback,187,2004,1956,2016/12/28,2017/01/06,,,read,,,,1,0
13226612,Behind the Lines: Bugulma and Other Stories (Modern Czech Classics),Jaroslav Hašek,"Hašek, Jaroslav",,"=""8024620138""","=""9788024620138""",4,3.81,"Karolinum Press, Charles University",Hardcover,224,2012,1921,2016/12/27,2016/12/27,,,read,,,,1,0
8518485,Бай Ганьо,Aleko Konstantinov,"Konstantinov, Aleko",Алеко Константинов,"=""9547920804""","=""9789547920804""",5,3.88,Скорпио,Hardcover,280,2003,1894,,2016/08/18,,,read,,,,1,0
780581,Bel-Ami,Guy de Maupassant,"Maupassant, Guy de",Douglas Parmée,"=""0140443150""","=""9780140443158""",5,3.85,Penguin Classics,Paperback,416,1975,1885,,2016/08/18,,,read,,,,1,0
2124105,Тютюн,Dimitar Dimov,"Dimov, Dimitar",Димитър Димов,"=""9545280433""","=""9789545280436""",5,4.42,Труд,Paperback,616,1992,1951,2011/01/01,2016/08/18,,,read,,,,1,0
3310282,Тютюн - том първи,Dimitar Dimov,"Dimov, Dimitar",Димитър Димов,"=""""","=""9789542804222""",5,4.38,Сиела,Hardcover,447,2009,1974,2011/01/01,2016/08/18,,,read,,,,1,0
890,Of Mice and Men,John Steinbeck,"Steinbeck, John",,"=""0142000671""","=""9780142000670""",5,3.88,Penguin Books,Paperback,107,2002,1937,2016/08/18,2016/08/16,,,read,,,,1,0
163977,Tortilla Flat,John Steinbeck,"Steinbeck, John",,"=""0582461502""","=""9780582461505""",5,3.83,Pearson Schools,Hardcover,256,2001,1935,2016/08/16,2016/08/16,,,read,,,,1,0
4799,"Cannery Row (Cannery Row, #1)",John Steinbeck,"Steinbeck, John",,"=""014200068X""","=""9780142000687""",5,4.05,Penguin Books,Paperback,181,2002,1945,2016/08/13,2016/08/08,,,read,,,,1,0
17184,The Invisible Man,H.G. Wells,"Wells, H.G.","Daniel Philpott, Дмитро Паламарчук, Микола Іванов, Герберт Велз","=""0451528522""","=""9780451528520""",4,3.64,New American Library/Penguin Books,Mass Market Paperback,192,2002,1897,2016/08/08,2016/08/02,,,read,,,,1,0
17873648,Скакалци в програмата,Сибин Майналовски,"Майналовски, Сибин","Любомир П. Николов, Златимир Коларов, Мишо Гръблев, Ивайло Шонов, Христина Мач, Георги Малинов, Елена Стоева, Радослав Стефанов, Димитър Григоров, Румяна Василева, Мариана Царковска, Александър Белтов, Стефан Бонев, Станимир Костадинов, Михаил Конярски, Александър Феодоров, Йордан Циров, Зорница Петрова, Мартин Петков, Владо Трифонов, Теменуга Маринова, Иван Петров","=""""","=""9786191640461""",3,3.44,Enthusiast,Paperback,192,2013,2013,,2016/07/20,,,read,,,,1,0
4406,East of Eden,John Steinbeck,"Steinbeck, John",,"=""0142000655""","=""9780142000656""",5,4.41,Penguin Books,Paperback,601,2002,1952,2016/08/08,2016/06/09,,,read,,,,1,0
226378,A Hero of Our Time,Mikhail Lermontov,"Lermontov, Mikhail",Paul Foote,"=""014044176X""","=""9780140441765""",5,4.11,Penguin Books; Penguin Classics,Paperback,185,1966,1839,,2016/06/09,,,read,,,,1,0
7613,Animal Farm,George Orwell,"Orwell, George","Chris Mould, Αύγουστος Κορτώ, Boris Grabnar, Celâl Üster, Николай Николов, Κυριάκος Ντελόπουλος, Peter Škerl, Pau Masiques, José Manuel Moreno Cidoncha, Τζωρτζ Όργουελ, Celâl Üstüner","=""""","=""""",5,3.98,Plume,Paperback,122,2003,1945,,2015/07/28,,,read,,,,1,0
7629,The Good Soldier Švejk,Jaroslav Hašek,"Hašek, Jaroslav","Josef Lada, Cecil Parrott","=""""","=""""",5,4.10,Penguin Classics,Paperback,752,2005,1921,2016/03/30,2015/07/02,,,read,,,,1,0
22319422,Salvador Dali: Quotes & Facts,Blago Kirov,"Kirov, Blago",,"=""""","=""""",4,4.67,Blago Kirov,Kindle Edition,32,2014,2014,,2019/01/05,,,read,,,,1,0
67896,Tao Te Ching,Lao Tzu,"Tzu, Lao","Jacob Needleman, Brian Browne Walker, Jane English, James Legge, Toinette Lippe, Vladimir Antonov, Claudio Lamparelli, Gia-Fu Feng, Mikhail Nikolenko","=""0679724346""","=""9780679724346""",5,4.30,Vintage,Paperback,107,1989,-400,,2018/10/14,,,read,,,,1,0
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Anna Brailovsky, Joseph Frank, Constance Garnett","=""0679642420""","=""9780679642428""",5,4.21,Modern Library,Paperback,667,2003,1869,2019/01/05,2018/09/04,,,read,,,,1,0
17716,Waiting for Godot,Samuel Beckett,"Beckett, Samuel",,"=""""","=""""",5,3.84,Grove,Paperback,109,2011,1952,,2018/04/27,,,read,,,,1,0
13596226,Beyond the Wall of Sleep,H.P. Lovecraft,"Lovecraft, H.P.",,"=""""","=""""",5,3.69,,ebook,17,1919,1919,,2020/05/31,,,read,,,,1,0
46164,Tender Is the Night,F. Scott Fitzgerald,"Fitzgerald, F. Scott",Amor Towles,"=""""","=""""",3,3.79,Scribner,Paperback,430,1995,1934,,2020/05/30,,,read,"This book was mediocre, but at least miles ahead of The Great Gatsby. I bet my left nut Fitzgerald became this hightly regarded for the wrong reasons. ",,,1,0
22613,"Simulacra and Simulation (The Body, In Theory: Histories of Cultural Materialism)",Jean Baudrillard,"Baudrillard, Jean",Sheila Faria Glaser,"=""0472065211""","=""9780472065219""",5,3.99,University of Michigan Press,Paperback,164,1994,1981,,2020/05/30,,,read,,,,1,0
38744766,Mastering Adulthood: Go Beyond Adulting to Become an Emotional Grown-Up,Lara E. Fielding PsyD,"PsyD, Lara E. Fielding",,"=""1684031931""","=""9781684031931""",3,3.74,New Harbinger Publications,Paperback,224,2019,,,2020/05/30,,,read,Guide to establishing a Jungian process of understanding outselves and take responsibility for outselves.,,,1,0
26165634,Allen Carr's Easy Way to Stop Smoking,Allen Carr,"Carr, Allen",,"=""""","=""""",4,4.26,Penguin,Kindle Edition,223,2015,1985,2019/01/31,2019/01/31,,,read,,,,1,0
